text,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9
79671511467- Водитель5. 2.Информация предоставляемая гидом ,0,0,0,1,0,0,0,0,0
"9163940347 - 5 - Году и водителю 10 баллов. Всё отлично.
Менеджеру по организации тура 5. Приехали в Коломну в 9, открываеться с 10, гуляли по морозу, в Зарайске в 17 закрылись кассы в музей попасть не успели. В Рязани обед перенесли в Константиново, там по морозу гуляли 2 часа, вместо свободного времени в Рязани, где могли провести в музеи, в тепле. Плохо распределено время.",0,0,0,0,0,1,0,0,1
"Не сообщили номер автобуса. Заставили нервничать. Там было несколько автобусов в Калязин. Почему не сделать было 11 июня,попали во все пробки. Сидения в автобусе ужасно неудобные. Такой автобус не может называться комфортабельным
Табличка на всез автобусах была одинаковая
Там было 20 автобусов и все метались торкались. Ужас
",1,0,0,0,0,0,1,0,0
"9030152826 - 2 - 2 я не поняла экскурсию в музей оружия за 30 минут, без микрофона, 5 этажей, город красивый, вернёмся",0,0,0,0,0,1,0,0,1
"Все отлично, только тяжело было ехать на автобусе из-за пробок
",0,0,0,0,0,0,0,0,1
"Общая Оценка 50/50 , то есть - 5
Отель, организация, водитель, вся логистика перемещения на 10 балов
Экскурсоводы на местах - 2 нет заинтересованности к тому что делают, как роботы по шаблону отчитали, это как аудиогида взять и прослушать всю инфу, можно было бы вам тогда тур делать без экскурсоводов, на доп вопросы по делу не знают.
Экскурсоводы во Владимире в джинсах, это очень неожиданно для посещения духовных мест.",0,0,0,0,1,0,0,0,0
"Поездка прошла замечательно!
Мало того, что погода подпортила настроение, так ещё и водитель оочень настойчиво и требовательно просил не употреблять пищу в автобусе ????????????
автобус новый- очень здорово ????
мы и так не собирались кушать в автобусе...
понятно, что он ко всем обращался, можно было немного повежливее..уж очень слух резало????
Гид Анастасия - приятная женщина, скучать не пришлось..Да и в целом экскурсия хорошая.. спасибо!!!",1,0,0,0,0,0,0,0,1
"9037534767 - 4, Холодный автобус, водитель некорректнен, гостиница не соответствует 3 звезды
",1,0,1,0,0,0,0,0,0
"Из плюсов только фабрика пастилы. Организация ваша полный минус
",0,0,0,0,0,1,0,0,0
"Добрый вечер! Путешествие нам очень понравилось. Проживали в отеле 'Азимут'. Номер достойный. Вечером на такси сьездили в центр, поужинали, погуляли на набережной. Экскурсоводы в Ростове и Костроме умницы и большие профессионалы. Испортила впечатлееие сопровождающий нас из Москвы гид Светлана. 12 июня, после обеда в Плесе она попрощалась с нами в Приволжском. И остаашуюся часть путешествия мы были брошены на произвол судьбы. Слава Богу доехали благополучно. Дорога обратно заняла 7 часов, т.к. были пробки. Водитель автобуса великолепно справился с ними. Отсутствие сопровождащего вызвало негативные эмоции и добавило ложку дегтя в эту поездку",0,0,0,1,0,0,0,1,0
"9165489094 - Знаете, честно говоря, я затрудняюсь, как оценить эту экскурсию, я очень была довольна, тем, что я вырвалась из дома, я очень была довольна, что я увидела новый город, ну есть маленькие нюансы. Нюанс 1. Как сказать в гостях у снегурочки программа была, конечно, шикарная, но очень мало места? А так все аниматоры отрабатывали по полной программе-это 1-2 самое главное, мы приехали в Кострому раньше времени, у нас оставалось 1, 5 часа, но почему по светлому времени нельзя было провести? Нам экскурсию проводить её тогда, когда вечером будет уже темно, то есть после посещения с сырного музеем. Там уже в автобусе свет горит, и ничего не видно, гид был шикарный, просто шикарный говорит: посмотрите направо, там темно, посмотрите направо, там там-таки темно, ну понимаете, о чем я говорю дальше. Теперь музей сыром у нас была большая группа 45 человек, понимаете, мы столкнулись с такой же большой группой, нам некуда было повесить пищи, мы толкались друг от друга маленький зайчик Ги был. Я про тот гид, который был в музее сыром. Но дело в том, что мы не могли разместиться в маленьком помещении, так что на будущее учтите или меньше группа, или пускай они увеличивают зону дегустации гид каждый раз говорю, отойдите в сторону этой двери. Пропустите персонал. Короче, это было не очень приятно дальше по поводу возвращения обратно, знаете, когда утром мы едем в дорогу, мы выспавшиеся, мы полностью сильные, так будем говорить, но когда мы едем обратно. Мы хотим отдохнуть, ну вы меня понимаете, короче. Почти 5 часов ы можно было сделать 2 стоянки, стоянки и не дождаться того, чтобы клиент пришёл и попросил конкретно в любой в любом, вернее месте остановить шоёра. Потому что он просто не может терпеть. Это была 1-единственная остановка до Москвы, все понимаем: семья, дети, но это понятие и понятное, но маленький нюанс, ты на рабочем месте и перед тобой едет группа, в которой есть и старики и. Очень много пожилых людей и маленькие дети тоже, если вы хотите, тогда определите группу, что все люди были там среднего возраста без детей, без стариков, без проблем понимаете, да короче. По полной программе-это приятно, что побыстрее попасть в Москву, но мы тоже живые люди по поводу гида, могу сказать, парень неплохой, знаешь, за что ему большое спасибо, я очень шикарно выспалась. Он так говорил нудно, и всё по бумаге, и все монотонно это надо что-то было делать, потому что когда мы приехали в Кострому, и как я вам говорила вечером сел и гид костромской девушка. Там было безумно интересно послушать про все, что случилось в этом городе и про торговые ряды, и, в общем, не буду передавать, все было замечательно, так вот-вот эти 1, 5 часа, по бессмысленно проболтались по Костроме. Можно было бы заменить вот этой экскурсии тут бш обзору по городу? В общем, я не знаю, как оценить экскурсии, я всегда была довольна всем, а сейчас у меня двоякое впечатление, я вам сказала то, что я видела и решите сами, какую оценку я вам должна поставить. Пойдём спать
Прошу вас убедитель пересмотреть эту экскурсию. Что вам ещё сказать, ставлю пятёрку за то, что я не знаю, к какому берегу прииться? Я такого двоякого мнения от вашего турагентства никогда не видела, мне всегда все нравилось, а тут, понимаете, без обида будет сказано, гид ему указывает что-то, я имею ввиду. Шофёру, а он не его так категорически словом нет или да? Я, конечно, все понимаю, есть маленькие нюансы между общениями и гид не совсем достойный, может быть, из-за этого не знаю, как сказать, но тем не менее я не знаю, какую оценку вам поставить, считайте так экскурсию буду рекомендовать. Ну как сказать самую? На тебе, боже, что ничего не гоже.",0,0,0,1,0,0,0,0,1
"Спасибо, всё в общем хорошо, но выехали позже, долго добирались. Хотелось посмотреть и послушать больше.. Может стоит в летнее время выезжать пораньше, в 7.00.Все равно кто-то опаздывает и выезжают позже.
Спасибо Марине и водителю, старались компенсировать долгий путь. Потрясающий гид во Ржеве, спасибо ей.
Будем ездить с вами и дальше.",0,0,0,0,0,1,0,0,0
"Поездка прошла хорошо. Единственно, что омрачило поездку - это пробки по дороге домой, но это беда не ваша.
Хорошо что бы в экскурсию по Великому Новгороду входила поездка на теплоходе. В Старой Руссе очень плотный график и свободного времени на прогулки по городу и курорту почти не остаётся.",0,0,0,0,0,1,0,0,0
